run_id,seed,optimizer,batch_size,dropout,weight_decay,best_val_accuracy,best_val_loss,test_accuracy,test_loss
0,3407,sgd,128,0.0,0.0,0.44435555555555556,1.5459329005347358,0.44064444444444445,1.5490709012349446
1,3407,sgd,128,0.0,0.0001,0.4410222222222222,1.5489414236068726,0.43922222222222224,1.548571639166938
2,3407,sgd,128,0.1,0.0,0.43972222222222224,1.5523514941745333,0.439,1.5544850093417697
3,3407,sgd,128,0.1,0.0001,0.4444888888888889,1.5424232039027743,0.4435,1.5449932792663574
4,3407,sgd,128,0.5,0.0,0.4442,1.5394142904917398,0.4412,1.545097476471795
5,3407,sgd,128,0.5,0.0001,0.44514444444444445,1.5384017353057862,0.44508888888888887,1.539403908560011
6,3407,sgd,256,0.0,0.0,0.42004444444444444,1.596323522461785,0.4170888888888889,1.5979318129645455
7,3407,sgd,256,0.0,0.0001,0.4189,1.5967492439693876,0.41473333333333334,1.5989375538296169
8,3407,sgd,256,0.1,0.0,0.4157888888888889,1.602956309615241,0.41434444444444446,1.6047229537328085
9,3407,sgd,256,0.1,0.0001,0.4171666666666667,1.5993077885097928,0.4150888888888889,1.5999631523132325
10,3407,sgd,256,0.5,0.0,0.4136222222222222,1.6037327131059436,0.41442222222222225,1.6063663331561617
11,3407,sgd,256,0.5,0.0001,0.4162222222222222,1.5987882518556382,0.4154111111111111,1.602290529399448
12,3407,adamw,128,0.0,0.0,0.4633333333333333,1.5221071589152018,0.4619333333333333,1.5222510822296142
13,3407,adamw,128,0.0,0.0001,0.4666444444444444,1.5172442013316685,0.4640888888888889,1.5228998430464002
14,3407,adamw,128,0.1,0.0,0.46375555555555553,1.5202447170893352,0.4626,1.5250147735171848
15,3407,adamw,128,0.1,0.0001,0.4668111111111111,1.5271217536502415,0.46657777777777776,1.5296763027615017
16,3407,adamw,128,0.5,0.0,0.4617111111111111,1.4947247633404201,0.4597,1.4974445612589518
17,3407,adamw,128,0.5,0.0001,0.4660111111111111,1.5154332964155408,0.4652222222222222,1.5191130347357855
18,3407,adamw,256,0.0,0.0,0.4474888888888889,1.5952904278649225,0.44801111111111114,1.5947552907307943
19,3407,adamw,256,0.0,0.0001,0.44876666666666665,1.58580364174313,0.44832222222222223,1.5894056871202258
20,3407,adamw,256,0.1,0.0,0.44493333333333335,1.6189871943579779,0.4431333333333333,1.6165050485187107
21,3407,adamw,256,0.1,0.0001,0.44566666666666666,1.5463283274332682,0.4423,1.5509704319636026
22,3407,adamw,256,0.5,0.0,0.4493333333333333,1.599760179731581,0.44926666666666665,1.600266118197971
23,3407,adamw,256,0.5,0.0001,0.4477,1.5811195663664077,0.4464222222222222,1.5866080706066557
