run_id,seed,optimizer,batch_size,dropout,weight_decay,best_val_accuracy,best_val_loss,test_accuracy,test_loss
0,0,sgd,128,0.0,0.0,0.44554444444444447,1.5352426303015816,0.4444888888888889,1.5398582513385348
1,0,sgd,128,0.0,0.0001,0.44456666666666667,1.5367505169550577,0.44343333333333335,1.5387004282633463
2,0,sgd,128,0.1,0.0,0.44564444444444445,1.5318381686210631,0.4403111111111111,1.5391707962036132
3,0,sgd,128,0.1,0.0001,0.44703333333333334,1.5289679559283786,0.4434888888888889,1.5378263646443684
4,0,sgd,128,0.5,0.0,0.43846666666666667,1.5467625602722168,0.43637777777777775,1.5485566251118978
5,0,sgd,128,0.5,0.0001,0.4452111111111111,1.5325331613116795,0.4427333333333333,1.5379172520955404
6,0,sgd,256,0.0,0.0,0.40434444444444445,1.6169719393200344,0.40746666666666664,1.6167455122205947
7,0,sgd,256,0.0,0.0001,0.4078,1.6174346288892958,0.4068,1.6189573157628376
8,0,sgd,256,0.1,0.0,0.4070888888888889,1.6122609944237603,0.40725555555555554,1.614293159336514
9,0,sgd,256,0.1,0.0001,0.4058333333333333,1.6151510321087308,0.4049888888888889,1.6166470733854506
10,0,sgd,256,0.5,0.0,0.41142222222222224,1.6009070178985596,0.4098888888888889,1.602353416993883
11,0,sgd,256,0.5,0.0001,0.4125333333333333,1.6026609772364298,0.41046666666666665,1.604983940272861
12,0,adamw,128,0.0,0.0,0.4754333333333333,1.5828753524356418,0.47383333333333333,1.5881731344858805
13,0,adamw,128,0.0,0.0001,0.4750888888888889,1.5095624157799614,0.47426666666666667,1.5111944670995077
14,0,adamw,128,0.1,0.0,0.47078888888888887,1.4777207138909234,0.4712777777777778,1.4747848429361978
15,0,adamw,128,0.1,0.0001,0.4741111111111111,1.4702372890260484,0.4734555555555556,1.4740734792073569
16,0,adamw,128,0.5,0.0,0.4812444444444444,1.4574958833058675,0.47967777777777776,1.4613661907407973
17,0,adamw,128,0.5,0.0001,0.4812222222222222,1.4869494106292724,0.4810888888888889,1.4830763039694892
18,0,adamw,256,0.0,0.0,0.44704444444444447,1.537067883237203,0.4456777777777778,1.5345084871927896
19,0,adamw,256,0.0,0.0001,0.44603333333333334,1.5718034859339396,0.4427,1.574351858139038
20,0,adamw,256,0.1,0.0,0.4454444444444444,1.5472495820151435,0.44576666666666664,1.5496977942360772
21,0,adamw,256,0.1,0.0001,0.4484666666666667,1.554908151986864,0.4482333333333333,1.5536732195324368
22,0,adamw,256,0.5,0.0,0.4467111111111111,1.6183720434824627,0.4441555555555556,1.6200931660122342
23,0,adamw,256,0.5,0.0001,0.44645555555555555,1.5431944047715929,0.44787777777777776,1.5387090994728936
